Year,Blue Whale,Gray Whale,Humpback Whale,Fin Whale,Killer Whale,Minke Whale,Sperm Whale,Unidentified Whale,Unidentified Other,Grand Total
2000,0,6,3,0,0,0,0,0,0,9
2001,0,0,1,0,0,0,0,0,0,1
2002,0,3,0,0,0,0,0,0,0,3
2003,0,5,5,0,0,0,0,0,0,10
2004,0,7,3,0,0,0,0,0,0,10
2005,0,6,3,0,0,0,0,1,1,10
2006,0,3,5,1,0,0,0,0,1,9
2007,0,5,4,0,0,0,0,2,2,11
2008,0,0,4,0,0,0,0,2,2,6
2009,0,4,2,2,0,0,0,0,2,8
2010,0,6,7,0,0,1,2,0,3,16
2011,0,2,5,1,0,1,0,0,2,9
2012,0,11,3,0,0,0,0,0,0,14
2013,0,10,0,0,0,0,0,1,1,11
2014,0,6,16,0,0,0,0,1,1,23
2015,1,10,31,2,1,0,0,8,11,53
2016,3,3,48,0,1,0,0,0,1,55
2017,3,12,17,0,0,0,0,0,0,32
2018,0,11,34,1,0,0,0,0,1,46
2019,0,8,16,0,0,1,0,0,1,25
