"year","index","SEup","SElo","timeseries","metric"
2003,3.71687150692188,3.72626354248674,3.70747947135702,"GF - MTL - Coastwide","Mean trophic level"
2004,3.72424803312757,3.73405188876453,3.71444417749061,"GF - MTL - Coastwide","Mean trophic level"
2005,3.69628959422629,3.70440576359372,3.68817342485886,"GF - MTL - Coastwide","Mean trophic level"
2006,3.70794122014495,3.71654053916662,3.69934190112328,"GF - MTL - Coastwide","Mean trophic level"
2007,3.6866583681036,3.69430447266338,3.67901226354382,"GF - MTL - Coastwide","Mean trophic level"
2008,3.66653802938012,3.67389179018351,3.65918426857673,"GF - MTL - Coastwide","Mean trophic level"
2009,3.65494371885249,3.66165683529199,3.64823060241299,"GF - MTL - Coastwide","Mean trophic level"
2010,3.64849446931739,3.65494604469737,3.64204289393741,"GF - MTL - Coastwide","Mean trophic level"
2011,3.66274830695894,3.66944245925251,3.65605415466537,"GF - MTL - Coastwide","Mean trophic level"
2012,3.64919648062799,3.65617571129011,3.64221724996587,"GF - MTL - Coastwide","Mean trophic level"
2013,3.65152948071852,3.65949093836535,3.64356802307169,"GF - MTL - Coastwide","Mean trophic level"
2014,3.65637765790091,3.66327273244189,3.64948258335993,"GF - MTL - Coastwide","Mean trophic level"
2015,3.6560046702188,3.66283243593319,3.64917690450441,"GF - MTL - Coastwide","Mean trophic level"
2016,3.65497276598633,3.66156948317506,3.6483760487976,"GF - MTL - Coastwide","Mean trophic level"
2017,3.64388172916113,3.65003756145923,3.63772589686303,"GF - MTL - Coastwide","Mean trophic level"
2018,3.62481860126303,3.63141816768343,3.61821903484263,"GF - MTL - Coastwide","Mean trophic level"
2003,3.76193205568546,3.77420649727648,3.74965761409444,"GF - MTL - North","Mean trophic level"
2004,3.77337097785506,3.78663286899722,3.7601090867129,"GF - MTL - North","Mean trophic level"
2005,3.72915342431369,3.73997528726715,3.71833156136023,"GF - MTL - North","Mean trophic level"
2006,3.73499361335315,3.74737008763503,3.72261713907127,"GF - MTL - North","Mean trophic level"
2007,3.71258903202992,3.72330399184354,3.7018740722163,"GF - MTL - North","Mean trophic level"
2008,3.68133546323777,3.69144757754303,3.67122334893251,"GF - MTL - North","Mean trophic level"
2009,3.67921506045564,3.68905052945158,3.6693795914597,"GF - MTL - North","Mean trophic level"
2010,3.6607631509896,3.6699002727663,3.6516260292129,"GF - MTL - North","Mean trophic level"
2011,3.68633320720975,3.69594089179968,3.67672552261982,"GF - MTL - North","Mean trophic level"
2012,3.66797236815122,3.67786996538469,3.65807477091775,"GF - MTL - North","Mean trophic level"
2013,3.64261044885495,3.65298506655505,3.63223583115485,"GF - MTL - North","Mean trophic level"
2014,3.66706250651418,3.67645261086934,3.65767240215902,"GF - MTL - North","Mean trophic level"
2015,3.67906276244312,3.68909668209973,3.66902884278651,"GF - MTL - North","Mean trophic level"
2016,3.67327001893228,3.68269005856137,3.66384997930319,"GF - MTL - North","Mean trophic level"
2017,3.65725142935281,3.66555909068053,3.64894376802509,"GF - MTL - North","Mean trophic level"
2018,3.63104843353439,3.64033444329226,3.62176242377652,"GF - MTL - North","Mean trophic level"
2003,3.61846560828286,3.63022222009255,3.60670899647317,"GF - MTL - South","Mean trophic level"
2004,3.63536687203964,3.64799547745796,3.62273826662132,"GF - MTL - South","Mean trophic level"
2005,3.6339640617231,3.64542728429219,3.62250083915401,"GF - MTL - South","Mean trophic level"
2006,3.65979708252647,3.67075665259105,3.64883751246189,"GF - MTL - South","Mean trophic level"
2007,3.63354741805261,3.64312545896284,3.62396937714238,"GF - MTL - South","Mean trophic level"
2008,3.64237047348591,3.65307388409915,3.63166706287267,"GF - MTL - South","Mean trophic level"
2009,3.61484400810228,3.6231293994875,3.60655861671706,"GF - MTL - South","Mean trophic level"
2010,3.62835400523754,3.63725580032202,3.61945221015306,"GF - MTL - South","Mean trophic level"
2011,3.62242445858129,3.63096729691665,3.61388162024593,"GF - MTL - South","Mean trophic level"
2012,3.61947694788391,3.62891104185212,3.6100428539157,"GF - MTL - South","Mean trophic level"
2013,3.67004054837255,3.68242454429064,3.65765655245446,"GF - MTL - South","Mean trophic level"
2014,3.63611686414405,3.64625385961283,3.62597986867527,"GF - MTL - South","Mean trophic level"
2015,3.61851038156094,3.62710698324196,3.60991377987992,"GF - MTL - South","Mean trophic level"
2016,3.62278769862041,3.63141813961245,3.61415725762837,"GF - MTL - South","Mean trophic level"
2017,3.61988723201696,3.62899340734428,3.61078105668964,"GF - MTL - South","Mean trophic level"
2018,3.61435119551668,3.62368573585275,3.60501665518061,"GF - MTL - South","Mean trophic level"
