year,group,use,plbs,year2,group2,use2,clbs,tlbs,prop,ptons,ctons,ttons,time.series,label.1,label.2
1990,C,P,47477,1990,C,C,533753485,533800962,8.89E-05,23.7385,266876.7425,266900.481,Non-tribal personal catch,Prop. pers. use,Pers. catch (tons)
1991,C,P,45650,1991,C,C,518512449,518558099,8.80E-05,22.825,259256.2245,259279.0495,Non-tribal personal catch,Prop. pers. use,Pers. catch (tons)
1992,C,P,71671,1992,C,C,439590474,439662145,0.000163014,35.8355,219795.237,219831.0725,Non-tribal personal catch,Prop. pers. use,Pers. catch (tons)
1993,C,P,73704,1993,C,C,461275036,461348740,0.000159758,36.852,230637.518,230674.37,Non-tribal personal catch,Prop. pers. use,Pers. catch (tons)
1994,C,P,101141,1994,C,C,450151287,450252428,0.000224632,50.5705,225075.6435,225126.214,Non-tribal personal catch,Prop. pers. use,Pers. catch (tons)
1995,C,P,95828,1995,C,C,530693722,530789550,0.000180539,47.914,265346.861,265394.775,Non-tribal personal catch,Prop. pers. use,Pers. catch (tons)
1996,C,P,90351,1996,C,C,588496655,588587006,0.000153505,45.1755,294248.3275,294293.503,Non-tribal personal catch,Prop. pers. use,Pers. catch (tons)
1997,C,P,98819,1997,C,C,589733204,589832023,0.000167538,49.4095,294866.602,294916.0115,Non-tribal personal catch,Prop. pers. use,Pers. catch (tons)
1998,C,P,129677,1998,C,C,382812499,382942176,0.000338633,64.8385,191406.2495,191471.088,Non-tribal personal catch,Prop. pers. use,Pers. catch (tons)
1999,C,P,78260,1999,C,C,556863459,556941719,0.000140517,39.13,278431.7295,278470.8595,Non-tribal personal catch,Prop. pers. use,Pers. catch (tons)
2000,C,P,690568,2000,C,C,648664166,649354734,0.001063468,345.284,324332.083,324677.367,Non-tribal personal catch,Prop. pers. use,Pers. catch (tons)
2001,C,P,706315,2001,C,C,576541194,577247509,0.001223591,353.1575,288270.597,288623.7545,Non-tribal personal catch,Prop. pers. use,Pers. catch (tons)
2002,C,P,325122,2002,C,C,536667317,536992439,0.00060545,162.561,268333.6585,268496.2195,Non-tribal personal catch,Prop. pers. use,Pers. catch (tons)
2003,C,P,647032,2003,C,C,427394715,428041747,0.00151161,323.516,213697.3575,214020.8735,Non-tribal personal catch,Prop. pers. use,Pers. catch (tons)
2004,C,P,773655,2004,C,C,447736580,448510235,0.001724944,386.8275,223868.29,224255.1175,Non-tribal personal catch,Prop. pers. use,Pers. catch (tons)
2005,C,P,397657,2005,C,C,450447431,450845088,0.000882026,198.8285,225223.7155,225422.544,Non-tribal personal catch,Prop. pers. use,Pers. catch (tons)
2006,C,P,277587,2006,C,C,480679647,480957234,0.000577155,138.7935,240339.8235,240478.617,Non-tribal personal catch,Prop. pers. use,Pers. catch (tons)
2007,C,P,353836,2007,C,C,507060091,507413927,0.000697332,176.918,253530.0455,253706.9635,Non-tribal personal catch,Prop. pers. use,Pers. catch (tons)
2008,C,P,220155,2008,C,C,423987151,424207306,0.00051898,110.0775,211993.5755,212103.653,Non-tribal personal catch,Prop. pers. use,Pers. catch (tons)
2009,C,P,225208,2009,C,C,480976291,481201499,0.000468012,112.604,240488.1455,240600.7495,Non-tribal personal catch,Prop. pers. use,Pers. catch (tons)
2010,C,P,262231,2010,C,C,591478907,591741138,0.000443152,131.1155,295739.4535,295870.569,Non-tribal personal catch,Prop. pers. use,Pers. catch (tons)
2011,C,P,306485.22,2011,C,C,546795216.4,547101701.7,0.000560198,153.24261,273397.6082,273550.8508,Non-tribal personal catch,Prop. pers. use,Pers. catch (tons)
2012,C,P,937283.79,2012,C,C,532691841.4,533629125.2,0.001756433,468.641895,266345.9207,266814.5626,Non-tribal personal catch,Prop. pers. use,Pers. catch (tons)
2013,C,P,692879.66,2013,C,C,564553841.4,565246721.1,0.0012258,346.43983,282276.9207,282623.3606,Non-tribal personal catch,Prop. pers. use,Pers. catch (tons)
2014,C,P,493435.65,2014,C,C,507243230.1,507736665.7,0.000971834,246.717825,253621.615,253868.3329,Non-tribal personal catch,Prop. pers. use,Pers. catch (tons)
1990,I,P,258755,1990,I,C,25396424,25655179,0.010085878,129.3775,12698.212,12827.5895,Tribal personal catch,Prop. pers. use,Pers. catch (tons)
1991,I,P,232849,1991,I,C,25926343,26159192,0.008901231,116.4245,12963.1715,13079.596,Tribal personal catch,Prop. pers. use,Pers. catch (tons)
1992,I,P,258136,1992,I,C,16423519,16681655,0.015474244,129.068,8211.7595,8340.8275,Tribal personal catch,Prop. pers. use,Pers. catch (tons)
1993,I,P,119844,1993,I,C,22121677,22241521,0.005388301,59.922,11060.8385,11120.7605,Tribal personal catch,Prop. pers. use,Pers. catch (tons)
1994,I,P,765887,1994,I,C,20620071,21385958,0.035812611,382.9435,10310.0355,10692.979,Tribal personal catch,Prop. pers. use,Pers. catch (tons)
1995,I,P,623984,1995,I,C,19398970,20022954,0.031163434,311.992,9699.485,10011.477,Tribal personal catch,Prop. pers. use,Pers. catch (tons)
1996,I,P,1299584,1996,I,C,17535698,18835282,0.068997321,649.792,8767.849,9417.641,Tribal personal catch,Prop. pers. use,Pers. catch (tons)
1997,I,P,906632,1997,I,C,21735813,22642445,0.040041259,453.316,10867.9065,11321.2225,Tribal personal catch,Prop. pers. use,Pers. catch (tons)
1998,I,P,1518687,1998,I,C,16182602,17701289,0.085795277,759.3435,8091.301,8850.6445,Tribal personal catch,Prop. pers. use,Pers. catch (tons)
1999,I,P,422555,1999,I,C,14849210,15271765,0.027669035,211.2775,7424.605,7635.8825,Tribal personal catch,Prop. pers. use,Pers. catch (tons)
2000,I,P,1021666,2000,I,C,17338130,18359796,0.055646915,510.833,8669.065,9179.898,Tribal personal catch,Prop. pers. use,Pers. catch (tons)
2001,I,P,6624214,2001,I,C,21789204,28413418,0.233136823,3312.107,10894.602,14206.709,Tribal personal catch,Prop. pers. use,Pers. catch (tons)
2002,I,P,7159431,2002,I,C,23372405,30531836,0.23449068,3579.7155,11686.2025,15265.918,Tribal personal catch,Prop. pers. use,Pers. catch (tons)
2003,I,P,6178394,2003,I,C,33399962,39578356,0.156105372,3089.197,16699.981,19789.178,Tribal personal catch,Prop. pers. use,Pers. catch (tons)
2004,I,P,2480504,2004,I,C,45994580,48475084,0.0511707,1240.252,22997.29,24237.542,Tribal personal catch,Prop. pers. use,Pers. catch (tons)
2005,I,P,360254,2005,I,C,55225767,55586021,0.006481018,180.127,27612.8835,27793.0105,Tribal personal catch,Prop. pers. use,Pers. catch (tons)
2006,I,P,342295,2006,I,C,95848173,96190468,0.003558513,171.1475,47924.0865,48095.234,Tribal personal catch,Prop. pers. use,Pers. catch (tons)
2007,I,P,294646,2007,I,C,69295836,69590482,0.004233999,147.323,34647.918,34795.241,Tribal personal catch,Prop. pers. use,Pers. catch (tons)
2008,I,P,341634,2008,I,C,64933747,65275381,0.005233734,170.817,32466.8735,32637.6905,Tribal personal catch,Prop. pers. use,Pers. catch (tons)
2009,I,P,389783,2009,I,C,53464021,53853804,0.007237799,194.8915,26732.0105,26926.902,Tribal personal catch,Prop. pers. use,Pers. catch (tons)
2010,I,P,216819,2010,I,C,37287123,37503942,0.005781232,108.4095,18643.5615,18751.971,Tribal personal catch,Prop. pers. use,Pers. catch (tons)
2011,I,P,392738.15,2011,I,C,67818252.38,68210990.53,0.005757696,196.369075,33909.12619,34105.49527,Tribal personal catch,Prop. pers. use,Pers. catch (tons)
2012,I,P,331979.85,2012,I,C,32579851.67,32911831.52,0.010086945,165.989925,16289.92584,16455.91576,Tribal personal catch,Prop. pers. use,Pers. catch (tons)
2013,I,P,803314.57,2013,I,C,56092348.7,56895663.27,0.014119083,401.657285,28046.17435,28447.83164,Tribal personal catch,Prop. pers. use,Pers. catch (tons)
2014,I,P,301200.81,2014,I,C,36367528.88,36668729.69,0.008214105,150.600405,18183.76444,18334.36485,Tribal personal catch,Prop. pers. use,Pers. catch (tons)
