year,dens_bfal,dens_brac,dens_caau,dens_comu,dens_pfsh,dens_rhau,dens_sosh,anom_bfal,anom_brac,anom_caau,anom_comu,anom_pfsh,anom_rhau,anom_sosh,dens_7spp,anom_7spp,rate_hback,rate_fin,rate_pwsd,rate_risso,anom_hback,anom_fin,anom_pwsd,anom_risso,dens_4spp,anom_4spp
1996,0.02,0.27,1.13,9.95,0,0.14,0.32,-0.5752,-0.1229,-0.4743,2.8657,-0.4367,-0.0862,-13.03,11.83,-11.8599,0,0,0,0,-6.3381,-0.3381,-21.7333,-1.3143,0,-29.7238
1997,0.34,0.65,9.14,9.1,0.14,0.11,33.02,-0.2552,0.2571,7.5357,2.0157,-0.2967,-0.1162,19.67,52.496,28.8061,4.9,0,5.3,1.7,-1.4381,-0.3381,-16.4333,0.3857,11.9,-17.8238
1998,,,,,,,,,,,,,,,,,,,,,,,,,,
1999,,,,,,,,,,,,,,,,,,,,,,,,,,
2000,0.38,0.04,3.27,19.59,0.11,0.37,2.36,-0.2152,-0.3529,1.6657,12.5057,-0.3267,0.1438,-10.99,26.135,2.4451,7.1,0,0,0,0.7619,-0.3381,-21.7333,-1.3143,7.1,-22.6238
2001,0.98,0.3,2.02,3.32,0.75,0.15,11.83,0.3848,-0.0929,0.4157,-3.7643,0.3133,-0.0762,-1.52,19.351,-4.3389,3.7,0,21.6,2.5,-2.6381,-0.3381,-0.1333,1.1857,27.8,-1.9238
2002,0.34,0.31,0.59,1.25,0.11,0.18,13.44,-0.2552,-0.0829,-1.0143,-5.8343,-0.3267,-0.0462,0.09,16.213,-7.4769,3,0,39.4,2.9,-3.3381,-0.3381,17.6667,1.5857,45.3,15.5762
2003,0.87,0.11,2.15,3.09,0.49,0.12,33.67,0.2748,-0.2829,0.5457,-3.9943,0.0533,-0.1062,20.32,40.514,16.8241,10.6,0,25.5,0,4.2619,-0.3381,3.7667,-1.3143,36.1,6.3762
2004,0.47,0.13,1.58,5.81,0.33,0.12,13.3,-0.1252,-0.2629,-0.0243,-1.2743,-0.1067,-0.1062,-0.05,21.744,-1.9459,2.3,0.2,19.5,1.8,-4.0381,-0.1381,-2.2333,0.4857,23.8,-5.9238
2005,0.24,1.44,0.46,9.14,1.59,0.32,10.74,-0.3552,1.0471,-1.1443,2.0557,1.1533,0.0938,-2.61,23.936,0.2461,1.8,0.6,21.4,1.3,-4.5381,0.2619,-0.3333,-0.0143,25.1,-4.6238
2006,1.05,0.68,0.36,5.63,0.35,0.07,17.13,0.4548,0.2871,-1.2443,-1.4543,-0.0867,-0.1562,3.78,25.267,1.5771,3.6,0,15,0,-2.7381,-0.3381,-6.7333,-1.3143,18.6,-11.1238
2007,0.61,1.74,2.6,10.68,0.32,0.73,4.81,0.0148,1.3471,0.9957,3.5957,-0.1167,0.5038,-8.54,21.496,-2.1939,2.7,0,2,0,-3.6381,-0.3381,-19.7333,-1.3143,4.8,-24.9238
2008,0.9,0.6,0.31,4.58,0.6,0.21,3.74,0.3048,0.2071,-1.2943,-2.5043,0.1633,-0.0162,-9.61,10.937,-12.7529,3.1,0,23.4,0,-3.2381,-0.3381,1.6667,-1.3143,26.4,-3.3238
2009,0.62,0.12,1.14,5.41,1.26,0.32,18.08,0.0248,-0.2729,-0.4643,-1.6743,0.8233,0.0938,4.73,26.951,3.2611,7.4,0,16,4.7,1.0619,-0.3381,-5.7333,3.3857,28.1,-1.6238
2010,1.58,0,0.25,1.51,0.33,0.21,1.34,0.9848,-0.3929,-1.3543,-5.5743,-0.1067,-0.0162,-12.01,5.225,-18.4649,2.6,0.1,51,0.5,-3.7381,-0.2381,29.2667,-0.8143,54.3,24.5762
2011,,,,,,,,,,,,,,,,,,,,,,,,,,
2012,0.24,0.04,0.85,3.83,0.43,0.61,4.34,-0.3552,-0.3529,-0.7543,-3.2543,-0.0067,0.3838,-9.01,10.328,-13.3619,11.9,0.2,5.4,2.5,5.5619,-0.1381,-16.3333,1.1857,20,-9.7238
2013,0.66,0.01,3.74,5.2,0.12,0.11,11.58,0.0648,-0.3829,2.1357,-1.8843,-0.3167,-0.1162,-1.77,21.417,-2.2729,7.4,0,5.8,0.4,1.0619,-0.3381,-15.9333,-0.9143,13.6,-16.1238
2014,0.8,0.01,1.12,4.09,0.3,0.16,18.47,0.2048,-0.3829,-0.4843,-2.9943,-0.1367,-0.0662,5.12,24.951,1.2611,4.7,0.1,27,5.7,-1.6381,-0.2381,5.2667,4.3857,37.4,7.6762
2015,1.1,0,1.07,4.64,0.45,0.24,5.27,0.5048,-0.3929,-0.5343,-2.4443,0.0133,0.0138,-8.08,12.763,-10.9269,13.4,0,32.9,0,7.0619,-0.3381,11.1667,-1.3143,46.3,16.5762
2016,0.38,0.02,0.73,6.33,0.29,0.09,10.22,-0.2152,-0.3729,-0.8743,-0.7543,-0.1467,-0.1362,-3.13,18.053,-5.6369,11.5,1.5,52.4,0.4,5.1619,1.1619,30.6667,-0.9143,65.9,36.1762
2017,0.34,0.02,0.29,10.83,0.46,0.11,2.97,-0.2552,-0.3729,-1.3143,3.7457,0.0233,-0.1162,-10.38,15.013,-8.6769,1.3,0,5.2,0.2,-5.0381,-0.3381,-16.5333,-1.1143,6.6,-23.1238
2018,0.37,0.17,0.63,5.6,0.13,0.22,17.37,-0.2252,-0.2229,-0.9743,-1.4843,-0.3067,-0.0062,4.02,24.499,0.8091,17.2,4.4,53.4,3,10.8619,4.0619,31.6667,1.6857,78,48.2762
2019,0.21,1.59,0.26,19.19,0.61,0.16,46.35,-0.3852,1.1971,-1.3443,12.1057,0.1733,-0.0662,33,68.369,44.6791,12.9,0,34.2,0,6.5619,-0.3381,12.4667,-1.3143,47.1,17.3762
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,density of those 7 bird spp,,,,,,,,,,density of those 4 mammal spp,
