year,data,SD,metric,timeseries
1993,89,17,fork length (mm),Anchovy prey size
1994,97,27,fork length (mm),Anchovy prey size
1995,135,11,fork length (mm),Anchovy prey size
1996,93,45,fork length (mm),Anchovy prey size
1997,152,17,fork length (mm),Anchovy prey size
1998,89,21,fork length (mm),Anchovy prey size
1999,118,11,fork length (mm),Anchovy prey size
2000,122,32,fork length (mm),Anchovy prey size
2001,139,14,fork length (mm),Anchovy prey size
2002,135,13,fork length (mm),Anchovy prey size
2003,143,8,fork length (mm),Anchovy prey size
2004,127,7,fork length (mm),Anchovy prey size
2005,136,11,fork length (mm),Anchovy prey size
2006,NA,NA,fork length (mm),Anchovy prey size
2007,130,13,fork length (mm),Anchovy prey size
2008,137,9,fork length (mm),Anchovy prey size
2009,94,17,fork length (mm),Anchovy prey size
2010,105,19,fork length (mm),Anchovy prey size
2011,125,7,fork length (mm),Anchovy prey size
2012,97,32,fork length (mm),Anchovy prey size
2013,123,17,fork length (mm),Anchovy prey size
2014,90,11,fork length (mm),Anchovy prey size
2015,88,9,fork length (mm),Anchovy prey size
2016,86,12,fork length (mm),Anchovy prey size
2017,120,25,fork length (mm),Anchovy prey size
2018,125,14,fork length (mm),Anchovy prey size
2019,120,11,fork length (mm),Anchovy prey size
2020,122,11,fork length (mm),Anchovy prey size
