year,index,metric,timeseries,order
1997,NA,Encounter rate,Cassins auklet (Oct - Feb) South,1
1998,NA,Encounter rate,Cassins auklet (Oct - Feb) South,1
1999,NA,Encounter rate,Cassins auklet (Oct - Feb) South,1
2000,NA,Encounter rate,Cassins auklet (Oct - Feb) South,1
2001,NA,Encounter rate,Cassins auklet (Oct - Feb) South,1
2002,NA,Encounter rate,Cassins auklet (Oct - Feb) South,1
2003,NA,Encounter rate,Cassins auklet (Oct - Feb) South,1
2004,NA,Encounter rate,Cassins auklet (Oct - Feb) South,1
2005,NA,Encounter rate,Cassins auklet (Oct - Feb) South,1
2006,NA,Encounter rate,Cassins auklet (Oct - Feb) South,1
2007,NA,Encounter rate,Cassins auklet (Oct - Feb) South,1
2008,NA,Encounter rate,Cassins auklet (Oct - Feb) South,1
2009,NA,Encounter rate,Cassins auklet (Oct - Feb) South,1
2010,NA,Encounter rate,Cassins auklet (Oct - Feb) South,1
2011,NA,Encounter rate,Cassins auklet (Oct - Feb) South,1
2012,NA,Encounter rate,Cassins auklet (Oct - Feb) South,1
2013,0,Encounter rate,Cassins auklet (Oct - Feb) South,1
2014,0.059,Encounter rate,Cassins auklet (Oct - Feb) South,1
2015,0.055,Encounter rate,Cassins auklet (Oct - Feb) South,1
2016,0,Encounter rate,Cassins auklet (Oct - Feb) South,1
2017,0,Encounter rate,Cassins auklet (Oct - Feb) South,1
1997,NA,Encounter rate,Common murre (Jun- Dec) South,2
1998,NA,Encounter rate,Common murre (Jun- Dec) South,2
1999,NA,Encounter rate,Common murre (Jun- Dec) South,2
2000,NA,Encounter rate,Common murre (Jun- Dec) South,2
2001,NA,Encounter rate,Common murre (Jun- Dec) South,2
2002,NA,Encounter rate,Common murre (Jun- Dec) South,2
2003,NA,Encounter rate,Common murre (Jun- Dec) South,2
2004,NA,Encounter rate,Common murre (Jun- Dec) South,2
2005,NA,Encounter rate,Common murre (Jun- Dec) South,2
2006,NA,Encounter rate,Common murre (Jun- Dec) South,2
2007,NA,Encounter rate,Common murre (Jun- Dec) South,2
2008,NA,Encounter rate,Common murre (Jun- Dec) South,2
2009,NA,Encounter rate,Common murre (Jun- Dec) South,2
2010,NA,Encounter rate,Common murre (Jun- Dec) South,2
2011,NA,Encounter rate,Common murre (Jun- Dec) South,2
2012,NA,Encounter rate,Common murre (Jun- Dec) South,2
2013,0,Encounter rate,Common murre (Jun- Dec) South,2
2014,0.447,Encounter rate,Common murre (Jun- Dec) South,2
2015,0.984,Encounter rate,Common murre (Jun- Dec) South,2
2016,0.193,Encounter rate,Common murre (Jun- Dec) South,2
2017,0.162,Encounter rate,Common murre (Jun- Dec) South,2
1997,NA,Encounter rate,Sooty shearwater (May - Oct) South,3
1998,NA,Encounter rate,Sooty shearwater (May - Oct) South,3
1999,NA,Encounter rate,Sooty shearwater (May - Oct) South,3
2000,NA,Encounter rate,Sooty shearwater (May - Oct) South,3
2001,NA,Encounter rate,Sooty shearwater (May - Oct) South,3
2002,NA,Encounter rate,Sooty shearwater (May - Oct) South,3
2003,NA,Encounter rate,Sooty shearwater (May - Oct) South,3
2004,NA,Encounter rate,Sooty shearwater (May - Oct) South,3
2005,NA,Encounter rate,Sooty shearwater (May - Oct) South,3
2006,NA,Encounter rate,Sooty shearwater (May - Oct) South,3
2007,NA,Encounter rate,Sooty shearwater (May - Oct) South,3
2008,NA,Encounter rate,Sooty shearwater (May - Oct) South,3
2009,NA,Encounter rate,Sooty shearwater (May - Oct) South,3
2010,NA,Encounter rate,Sooty shearwater (May - Oct) South,3
2011,NA,Encounter rate,Sooty shearwater (May - Oct) South,3
2012,NA,Encounter rate,Sooty shearwater (May - Oct) South,3
2013,1.019,Encounter rate,Sooty shearwater (May - Oct) South,3
2014,0.263,Encounter rate,Sooty shearwater (May - Oct) South,3
2015,0.125,Encounter rate,Sooty shearwater (May - Oct) South,3
2016,0.089,Encounter rate,Sooty shearwater (May - Oct) South,3
2017,0.455,Encounter rate,Sooty shearwater (May - Oct) South,3
1997,NA,Encounter rate,Northern fulmar (Oct - Feb) South,4
1998,NA,Encounter rate,Northern fulmar (Oct - Feb) South,4
1999,NA,Encounter rate,Northern fulmar (Oct - Feb) South,4
2000,NA,Encounter rate,Northern fulmar (Oct - Feb) South,4
2001,NA,Encounter rate,Northern fulmar (Oct - Feb) South,4
2002,NA,Encounter rate,Northern fulmar (Oct - Feb) South,4
2003,NA,Encounter rate,Northern fulmar (Oct - Feb) South,4
2004,NA,Encounter rate,Northern fulmar (Oct - Feb) South,4
2005,NA,Encounter rate,Northern fulmar (Oct - Feb) South,4
2006,NA,Encounter rate,Northern fulmar (Oct - Feb) South,4
2007,NA,Encounter rate,Northern fulmar (Oct - Feb) South,4
2008,NA,Encounter rate,Northern fulmar (Oct - Feb) South,4
2009,NA,Encounter rate,Northern fulmar (Oct - Feb) South,4
2010,NA,Encounter rate,Northern fulmar (Oct - Feb) South,4
2011,NA,Encounter rate,Northern fulmar (Oct - Feb) South,4
2012,NA,Encounter rate,Northern fulmar (Oct - Feb) South,4
2013,0.833,Encounter rate,Northern fulmar (Oct - Feb) South,4
2014,0.045,Encounter rate,Northern fulmar (Oct - Feb) South,4
2015,0.132,Encounter rate,Northern fulmar (Oct - Feb) South,4
2016,0.065,Encounter rate,Northern fulmar (Oct - Feb) South,4
2017,0,Encounter rate,Northern fulmar (Oct - Feb) South,4
1997,NA,Encounter rate,Brandts Cormorant(Apr - Nov) South,5
1998,NA,Encounter rate,Brandts Cormorant(Apr - Nov) South,5
1999,NA,Encounter rate,Brandts Cormorant(Apr - Nov) South,5
2000,NA,Encounter rate,Brandts Cormorant(Apr - Nov) South,5
2001,NA,Encounter rate,Brandts Cormorant(Apr - Nov) South,5
2002,NA,Encounter rate,Brandts Cormorant(Apr - Nov) South,5
2003,NA,Encounter rate,Brandts Cormorant(Apr - Nov) South,5
2004,NA,Encounter rate,Brandts Cormorant(Apr - Nov) South,5
2005,NA,Encounter rate,Brandts Cormorant(Apr - Nov) South,5
2006,NA,Encounter rate,Brandts Cormorant(Apr - Nov) South,5
2007,NA,Encounter rate,Brandts Cormorant(Apr - Nov) South,5
2008,NA,Encounter rate,Brandts Cormorant(Apr - Nov) South,5
2009,NA,Encounter rate,Brandts Cormorant(Apr - Nov) South,5
2010,NA,Encounter rate,Brandts Cormorant(Apr - Nov) South,5
2011,NA,Encounter rate,Brandts Cormorant(Apr - Nov) South,5
2012,NA,Encounter rate,Brandts Cormorant(Apr - Nov) South,5
2013,1.457,Encounter rate,Brandts Cormorant(Apr - Nov) South,5
2014,7.219,Encounter rate,Brandts Cormorant(Apr - Nov) South,5
2015,1.037,Encounter rate,Brandts Cormorant(Apr - Nov) South,5
2016,1.359,Encounter rate,Brandts Cormorant(Apr - Nov) South,5
2017,1.507,Encounter rate,Brandts Cormorant(Apr - Nov) South,5
