time,mean_growth_rate,
UTC,kg/day,se
1997-01-01T00:00:00Z,0.014053785,0.002836337
1998-01-01T00:00:00Z,0.078084392,0.002937578
1999-01-01T00:00:00Z,0.076106485,0.006792762
2000-01-01T00:00:00Z,0.078030727,0.00347624
2001-01-01T00:00:00Z,0.093021232,0.003212752
2002-01-01T00:00:00Z,0.0435491,0.003768428
2003-01-01T00:00:00Z,0.079591747,0.005723092
2004-01-01T00:00:00Z,0.071978443,0.003157285
2005-01-01T00:00:00Z,0.082767465,0.004171266
2006-01-01T00:00:00Z,0.066451134,0.003090695
2007-01-01T00:00:00Z,0.075925084,0.003380025
2008-01-01T00:00:00Z,0.056620005,0.003051012
2009-01-01T00:00:00Z,0.063699173,0.004926198
2010-01-01T00:00:00Z,0.085627099,0.002149097
2011-01-01T00:00:00Z,NaN,NaN
2012-01-01T00:00:00Z,0.017564872,0.003386984
2013-01-01T00:00:00Z,0.058139166,0.003065636
2014-01-01T00:00:00Z,0.017434628,0.001847422
2015-01-01T00:00:00Z,0.012688475,0.003332315
2016,0.066415,0.00191
2017,0.08491,0.00292
2018,0.07762,0.0022
2019,0.09503055,0.011162791
